"test	metric	numerator_2	denominator_2	conversion_raw_test	numerator_1	denominator_1	conversion_raw_control	metric_change_pct	z_stat	p_value	significant"
"1	add_payment_info	2229	45193	0.04932179762	1988	45362	0.04382522816	12.54202132	3.924884023	8.68E-05	TRUE"
"1	add_shipping_info	3221	45193	0.07127209966	3034	45362	0.06688417618	6.560480713	2.603571455	0.009225803404	TRUE"
"1	begin_checkout	4021	45193	0.08897395614	3784	45362	0.08341783872	6.660586643	2.978782962	0.00289395685	TRUE"
"1	new_accounts	3681	45193	0.08145066714	3823	45362	0.08427758917	-3.354298646	-1.542882615	0.1228592598	FALSE"
"2	add_payment_info	2409	50244	0.04794602341	2344	50637	0.04629026206	3.576910717	1.240993925	0.2146079931	FALSE"
"2	add_shipping_info	3510	50244	0.06985908765	3480	50637	0.0687244505	1.650994869	0.7095568649	0.4779789766	FALSE"
"2	begin_checkout	4313	50244	0.08584109545	4262	50637	0.08416770346	1.98816402	0.9528980408	0.3406417329	FALSE"
"2	new_accounts	4184	50244	0.08327362471	4165	50637	0.08225210814	1.241933602	0.5887934729	0.5559998249	FALSE"
"3	add_payment_info	3697	70439	0.05248512898	3623	70047	0.05172241495	1.474629573	0.6431724006	0.5201122397	FALSE"
"3	add_shipping_info	5188	70439	0.07365238007	5298	70047	0.07563493083	-2.621210513	-1.413727145	0.1574420321	FALSE"
"3	begin_checkout	9264	70439	0.1315180511	9532	70047	0.1360800605	-3.352445195	-2.511388501	0.01202572687	TRUE"
"3	new_accounts	5822	70439	0.08265307571	5856	70047	0.08360101075	-1.133879878	-0.6434885255	0.5199071579	FALSE"
"4	add_payment_info	3601	105141	0.03424924625	3731	105079	0.03550661883	-3.541234341	-1.571106442	0.1161579264	FALSE"
"4	add_shipping_info	4956	105141	0.04713670214	5128	105079	0.04880137801	-3.411124718	-1.785795362	0.07413239802	FALSE"
"4	begin_checkout	12267	105141	0.1166718977	12555	105079	0.1194815329	-2.351522562	-1.995997812	0.04593416092	TRUE"
"4	new_accounts	8687	105141	0.08262238328	8984	105079	0.08549757801	-3.362896124	-2.375456603	0.01752725333	TRUE"
